City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Description
278,Tual,ID,-5.6667,132.75,83.59,100,4.54,overcast clouds
279,Terrassa,ES,41.5667,2.0167,57.85,0,4.61,clear sky
280,Waipawa,NZ,-41.4122,175.5153,52.45,32,9.26,scattered clouds
281,Salinopolis,BR,-0.6136,-47.3561,79.18,100,8.43,overcast clouds
282,Zhigalovo,RU,54.8097,105.1578,20.62,68,2.66,broken clouds
283,Alyangula,AU,-13.8483,136.4192,75.07,58,0.0,broken clouds
284,Samarai,PG,-10.6167,150.6667,83.14,52,11.36,broken clouds
285,Dikson,RU,73.5069,80.5464,25.12,100,13.47,light snow
286,Yaring,TH,6.8662,101.3689,78.42,96,4.0,overcast clouds
287,Puerto Carreno,CO,6.189,-67.4859,96.78,20,6.91,few clouds
288,Gorin,RU,51.1983,136.6669,16.52,92,1.92,overcast clouds
289,Cidreira,BR,-30.1811,-50.2056,68.2,100,7.16,overcast clouds
290,Jhawarian,PK,32.3614,72.6228,78.28,1,7.72,clear sky
291,Dehloran,IR,32.6941,47.2679,75.63,6,6.71,clear sky
292,Wuwei,CN,37.9281,102.6414,45.27,100,3.91,overcast clouds
293,San Cristobal,VE,7.7669,-72.225,86.18,91,6.62,overcast clouds
294,Kapaa,US,22.0752,-159.319,80.19,20,11.5,few clouds
295,Guerrero Negro,MX,27.9769,-114.0611,71.69,25,13.51,scattered clouds
296,Pimentel,PE,-6.8367,-79.9342,75.49,0,19.57,clear sky
297,Balkhash,KZ,46.844,74.9804,48.29,2,16.35,clear sky
298,Ranikhet,IN,29.65,79.4167,58.28,28,5.32,scattered clouds
299,Cedar Falls,US,42.5278,-92.4455,37.35,100,14.97,light rain
300,Fort-Shevchenko,KZ,44.5086,50.263,50.09,76,10.92,broken clouds
301,Manono,CD,-7.3,27.4167,73.4,69,3.71,broken clouds
302,Katangli,RU,51.7102,143.2326,16.83,80,7.07,broken clouds
303,Novikovo,RU,51.1537,37.8879,53.94,100,17.78,overcast clouds
304,Menemen,TR,38.6075,27.0694,51.17,0,6.51,clear sky
305,Ca Mau,VN,9.1769,105.15,77.72,56,4.27,broken clouds
306,Bonfim,BR,3.0833,-59.95,89.8,95,11.54,overcast clouds
307,Tsabong,BW,-26.0217,22.401,70.0,90,5.57,overcast clouds
308,Caledon,ZA,-34.23,19.4265,61.07,100,3.96,light rain
309,Husavik,IS,66.0449,-17.3389,35.74,84,10.22,broken clouds
310,Shangrao,CN,28.4532,117.9686,59.49,100,2.8,overcast clouds
311,San Quintin,MX,30.4833,-115.95,65.01,74,17.29,broken clouds
312,Poopo,BO,-18.3667,-66.9667,61.57,0,6.51,clear sky
313,Praia,CV,14.9215,-23.5087,70.34,20,23.02,few clouds
314,Sola,VU,-13.8833,167.55,82.96,18,12.73,moderate rain
315,Luderitz,NA,-26.6481,15.1594,62.28,49,10.16,scattered clouds
316,Baijiantan,CN,45.6333,85.1833,55.67,0,5.64,clear sky
317,Fairbanks,US,64.8378,-147.7164,42.24,0,0.0,clear sky
318,Cayenne,GF,4.9333,-52.3333,81.09,75,13.8,broken clouds
319,Bridlington,GB,54.0831,-0.1919,53.89,7,9.28,clear sky
320,Chute-Aux-Outardes,CA,49.1168,-68.399,40.98,75,9.22,broken clouds
321,Honningsvag,NO,70.9821,25.9704,33.55,0,5.75,clear sky
322,Coquimbo,CL,-29.9533,-71.3436,58.73,75,11.5,broken clouds
323,Port Lincoln,AU,-34.7333,135.8667,65.62,100,10.09,light rain
324,Leninsk,RU,48.7119,45.1994,45.1,52,20.0,broken clouds
325,Tibati,CM,6.4667,12.6333,69.21,100,0.51,light rain
326,Nagarote,NI,12.2659,-86.5647,96.48,45,9.8,scattered clouds
327,Bukama,CD,-9.2,25.85,70.81,100,2.06,overcast clouds
328,Butaritari,KI,3.0707,172.7902,81.48,99,16.28,light rain
329,Teguldet,RU,57.3064,88.1667,26.62,10,3.58,clear sky
330,Goure,NE,13.9835,10.2704,88.07,100,8.88,overcast clouds
331,Bathsheba,BB,13.2167,-59.5167,84.81,20,21.85,few clouds
332,Iquique,CL,-20.2208,-70.1431,68.04,2,5.55,clear sky
333,Eureka,US,40.8021,-124.1637,52.2,100,4.0,moderate rain
334,Poitiers,FR,46.5833,0.3333,56.79,100,0.0,overcast clouds
335,Teknaf,BD,20.8624,92.3058,77.52,38,4.18,scattered clouds
336,Gazli,UZ,40.1333,63.45,71.92,5,13.4,clear sky
337,Tazovskiy,RU,67.4667,78.7,24.49,100,5.66,overcast clouds
338,Henties Bay,NA,-22.116,14.2845,60.58,3,9.95,clear sky
339,Pierre,US,44.3683,-100.351,33.85,100,30.0,overcast clouds
340,Swan River,CA,52.1058,-101.2676,26.49,100,24.16,snow
341,Belaya Gora,RU,68.5333,146.4167,-2.94,100,1.95,overcast clouds
342,Marsabit,KE,2.3284,37.9899,72.03,20,16.06,few clouds
343,Bondo,CD,3.8146,23.6866,70.3,100,2.33,overcast clouds
344,Aswan,EG,24.0934,32.907,81.7,0,8.05,clear sky
345,Northam,GB,51.0333,-4.2167,52.61,65,2.71,broken clouds
346,Lompoc,US,34.6391,-120.4579,69.78,0,21.0,clear sky
347,Tessalit,ML,20.1986,1.0114,85.39,31,5.23,scattered clouds
348,Airai,TL,-8.9266,125.4092,59.85,100,2.17,overcast clouds
349,Geraldton,AU,-28.7667,114.6,57.61,0,10.36,clear sky
350,San Ignacio,BZ,17.1561,-89.0714,96.94,40,6.91,scattered clouds
351,Biak,ID,-0.9131,122.8766,76.5,100,3.33,overcast clouds
352,Severnyy,RU,50.677,36.5532,50.04,75,13.42,broken clouds
353,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,75,2.24,broken clouds
354,San Ramon,US,37.7799,-121.978,60.94,75,8.05,broken clouds
355,Padang,ID,-0.9492,100.3543,77.88,100,3.44,overcast clouds
356,Mahibadhoo,MV,3.7833,72.9667,84.11,100,15.52,overcast clouds
357,Saint Anthony,US,45.0205,-93.218,38.05,100,5.99,overcast clouds
358,Kosh-Agach,RU,50.0,88.6667,22.06,88,8.84,overcast clouds
359,Whitehorse,CA,60.7161,-135.0538,30.09,0,5.75,clear sky
360,Geelong,AU,-38.1471,144.3607,52.72,100,1.01,overcast clouds
361,Tutoia,BR,-2.7619,-42.2744,79.29,71,7.25,broken clouds
362,Wilmington,US,34.2257,-77.9447,80.01,72,8.01,broken clouds
363,North Battleford,CA,52.7834,-108.2847,22.41,20,16.11,few clouds
364,Yeppoon,AU,-23.1333,150.7333,69.58,47,12.19,light rain
365,Pemangkat,ID,1.1667,108.9667,77.65,99,4.59,overcast clouds
366,Grand-Santi,GF,4.25,-54.3833,76.48,73,3.53,light rain
367,Gamboula,CF,4.1178,15.1393,71.01,100,6.85,heavy intensity rain
368,Rawson,AR,-43.3002,-65.1023,65.19,1,6.55,clear sky
369,Kavaratti,IN,10.5669,72.642,81.18,100,17.11,overcast clouds
370,Acapulco,MX,16.8634,-99.8901,85.53,92,11.88,overcast clouds
371,Coihaique,CL,-45.5752,-72.0662,60.75,20,10.36,few clouds
372,Dubbo,AU,-32.25,148.6167,53.73,0,9.22,clear sky
373,Sawakin,SD,19.1059,37.3321,81.05,52,6.82,broken clouds
374,Ballina,AU,-28.8667,153.5667,61.02,75,6.91,light rain
375,Najran,SA,17.4924,44.1277,75.85,0,4.18,clear sky
376,Salalah,OM,17.0151,54.0924,79.7,0,2.73,clear sky
377,Lagoa,PT,39.05,-27.9833,58.5,0,26.08,clear sky
378,Aquiraz,BR,-3.9014,-38.3911,84.29,37,5.68,scattered clouds
379,Deputatskiy,RU,69.3,139.9,-4.85,100,2.42,overcast clouds
380,Hualmay,PE,-11.0964,-77.6139,70.7,12,11.32,few clouds
381,Dharchula,IN,29.85,80.5333,65.73,60,7.0,broken clouds
382,Sipoo,FI,60.3775,25.2691,40.15,0,3.44,clear sky
383,Krabi,TH,8.0726,98.9105,77.2,20,2.3,mist
384,Ahuimanu,US,21.4447,-157.8378,81.75,40,11.5,scattered clouds
385,Kailua,US,21.4022,-157.7394,82.02,40,11.5,scattered clouds
